code,college,school,areas_of_interest,next_offering,assessment_types,assessment_weights,max_assessment_weight,max_assessment_type,max_assessment_name,blurb,summary_link,selt_link
EXTN1002A,College of Science and Medicine,,,,"['other', 'reflection', 'reflection', 'other', 'essay/report', 'other', 'other', 'reflection']","{'Internship Project Proposal (10%)': 10.0, 'Reflection 1 - ""Transitioning into the Workplace"" (10%)': 10.0, 'Reflection 2 - ""Professionalism, Communication and Ettiquette in the Workplace"" (10%)': 10.0, 'Initial Placement Workplace Evaluation (10%) - Host': 10.0, 'Final Internship Report (20%)': 20.0, 'Final Placement Evaluation (20%) - Host': 20.0, 'Course hurdles (0%)': 0.0, 'Reflection 3: Skill development (20%)': 20.0}",,,,To enrol in this course you must be studying a Diploma of Studies,,https://unistats.anu.edu.au/internal/surveys/selt/learning/time-series/EXTN1002A_Time_Series_LRN.pdf
EXTN1002B,College of Science and Medicine,,,,"['other', 'reflection', 'reflection', 'other', 'essay/report', 'other', 'other', 'reflection']","{'Internship Project Proposal (10%)': 10.0, 'Reflection 1 - ""Transitioning into the Workplace"" (10%)': 10.0, 'Reflection 2 - ""Professionalism, Communication and Ettiquette in the Workplace"" (10%)': 10.0, 'Initial Placement Workplace Evaluation (10%) - Host': 10.0, 'Final Internship Report (20%)': 20.0, 'Final Placement Evaluation (20%) - Host': 20.0, 'Course hurdles (0%)': 0.0, 'Reflection 3: Skill development (20%)': 20.0}",,,,To enrol in this course you must have successfully completed EXTN1002A,,https://unistats.anu.edu.au/internal/surveys/selt/learning/time-series/EXTN1002B_Time_Series_LRN.pdf
EXTN1003A,College of Asia and the Pacific,School of Culture History and Language,,,"['other', 'reflection', 'reflection', 'other', 'essay/report', 'other', 'other', 'reflection']","{'Internship Project Proposal (10%)': 10.0, 'Reflection 1 - ""Transitioning into the Workplace"" (10%)': 10.0, 'Reflection 2 - ""Professionalism, Communication and Ettiquette in the Workplace"" (10%)': 10.0, 'Initial Placement Workplace Evaluation (10%) - Host': 10.0, 'Final Internship Report (20%)': 20.0, 'Final Placement Evaluation (20%) - Host': 20.0, 'Course hurdles (0%)': 0.0, 'Reflection 3: Skill development (20%)': 20.0}",,,,To enrol in this course you must be studying a Diploma of Studies,,https://unistats.anu.edu.au/internal/surveys/selt/learning/time-series/EXTN1003A_Time_Series_LRN.pdf
EXTN1003B,College of Asia and the Pacific,School of Culture History and Language,,,"['other', 'reflection', 'reflection', 'other', 'essay/report', 'other', 'other', 'reflection']","{'Internship Project Proposal (10%)': 10.0, 'Reflection 1 - ""Transitioning into the Workplace"" (10%)': 10.0, 'Reflection 2 - ""Professionalism, Communication and Ettiquette in the Workplace"" (10%)': 10.0, 'Initial Placement Workplace Evaluation (10%) - Host': 10.0, 'Final Internship Report (20%)': 20.0, 'Final Placement Evaluation (20%) - Host': 20.0, 'Course hurdles (0%)': 0.0, 'Reflection 3: Skill development (20%)': 20.0}",,,,To enrol in this course you must have successfully completed EXTN1003A,,https://unistats.anu.edu.au/internal/surveys/selt/learning/time-series/EXTN1003B_Time_Series_LRN.pdf
EXTN1006A,College of Asia and the Pacific,School of Culture History and Language,,,"['other', 'reflection', 'reflection', 'other', 'essay/report', 'other', 'other', 'reflection']","{'Internship Project Proposal (10%)': 10.0, 'Reflection 1 - ""Transitioning into the Workplace"" (10%)': 10.0, 'Reflection 2 - ""Professionalism, Communication and Ettiquette in the Workplace"" (10%)': 10.0, 'Initial Placement Workplace Evaluation (10%) - Host': 10.0, 'Final Internship Report (20%)': 20.0, 'Final Placement Evaluation (20%) - Host': 20.0, 'Course hurdles (0%)': 0.0, 'Reflection 3: Skill development (20%)': 20.0}",,,,To enrol in this course you must be studying a Diploma of Studies,,https://unistats.anu.edu.au/internal/surveys/selt/learning/time-series/EXTN1006A_Time_Series_LRN.pdf
EXTN1006B,College of Asia and the Pacific,School of Culture History and Language,,,"['other', 'reflection', 'reflection', 'other', 'essay/report', 'other', 'other', 'reflection']","{'Internship Project Proposal (10%)': 10.0, 'Reflection 1 - ""Transitioning into the Workplace"" (10%)': 10.0, 'Reflection 2 - ""Professionalism, Communication and Ettiquette in the Workplace"" (10%)': 10.0, 'Initial Placement Workplace Evaluation (10%) - Host': 10.0, 'Final Internship Report (20%)': 20.0, 'Final Placement Evaluation (20%) - Host': 20.0, 'Course hurdles (0%)': 0.0, 'Reflection 3: Skill development (20%)': 20.0}",,,,To enrol in this course you must have successfully completed EXTN1006A,,https://unistats.anu.edu.au/internal/surveys/selt/learning/time-series/EXTN1006B_Time_Series_LRN.pdf
EXTN1019A,College of Systems and Society,School of Computing,"Music, Visual Arts, Information Technology, Human Centred Computing, Creative Arts",,"['other', 'reflection', 'reflection', 'other', 'essay/report', 'other', 'other', 'reflection']","{'Internship Project Proposal (10%)': 10.0, 'Reflection 1 - ""Transitioning into the Workplace"" (10%)': 10.0, 'Reflection 2 - ""Professionalism, Communication and Ettiquette in the Workplace"" (10%)': 10.0, 'Initial Placement Workplace Evaluation (10%) - Host': 10.0, 'Final Internship Report (20%)': 20.0, 'Final Placement Evaluation (20%) - Host': 20.0, 'Course hurdles (0%)': 0.0, 'Reflection 3: Skill development (20%)': 20.0}",,,,"To enrol in this course you must be studying a Diploma of Studies. 
 Students who take this course must be enrolled in either a course in the Information Technology Course Area or a course in the Arts framework, at T-level, at their home college.",,https://unistats.anu.edu.au/internal/surveys/selt/learning/time-series/EXTN1019A_Time_Series_LRN.pdf
EXTN1019B,College of Systems and Society,School of Computing,"Music, Visual Arts, Information Technology, Human Centred Computing, Creative Arts",,"['other', 'reflection', 'reflection', 'other', 'essay/report', 'other', 'other', 'reflection']","{'Internship Project Proposal (10%)': 10.0, 'Reflection 1 - ""Transitioning into the Workplace"" (10%)': 10.0, 'Reflection 2 - ""Professionalism, Communication and Ettiquette in the Workplace"" (10%)': 10.0, 'Initial Placement Workplace Evaluation (10%) - Host': 10.0, 'Final Internship Report (20%)': 20.0, 'Final Placement Evaluation (20%) - Host': 20.0, 'Course hurdles (0%)': 0.0, 'Reflection 3: Skill development (20%)': 20.0}",,,,"To enrol in this course you must be studying a Diploma of Studies. 
 Students who take this course must be enrolled in either a course in the Information Technology Course Area or a course in the Arts framework, at T-level, at their home college.",,https://unistats.anu.edu.au/internal/surveys/selt/learning/time-series/EXTN1019B_Time_Series_LRN.pdf
EXTN1005A,College of Systems and Society,School of Engineering,,,"['other', 'reflection', 'reflection', 'other', 'essay/report', 'other', 'other', 'reflection']","{'Internship Project Proposal (10%)': 10.0, 'Reflection 1 - ""Transitioning into the Workplace"" (10%)': 10.0, 'Reflection 2 - ""Professionalism, Communication and Ettiquette in the Workplace"" (10%)': 10.0, 'Initial Placement Workplace Evaluation (10%) - Host': 10.0, 'Final Internship Report (20%)': 20.0, 'Final Placement Evaluation (20%) - Host': 20.0, 'Course hurdles (0%)': 0.0, 'Reflection 3: Skill development (20%)': 20.0}",,,,To enrol in this course you must be studying a Diploma of Studies,,https://unistats.anu.edu.au/internal/surveys/selt/learning/time-series/EXTN1005A_Time_Series_LRN.pdf
EXTN1005B,College of Systems and Society,School of Engineering,,,"['other', 'reflection', 'reflection', 'other', 'essay/report', 'other', 'other', 'reflection']","{'Internship Project Proposal (10%)': 10.0, 'Reflection 1 - ""Transitioning into the Workplace"" (10%)': 10.0, 'Reflection 2 - ""Professionalism, Communication and Ettiquette in the Workplace"" (10%)': 10.0, 'Initial Placement Workplace Evaluation (10%) - Host': 10.0, 'Final Internship Report (20%)': 20.0, 'Final Placement Evaluation (20%) - Host': 20.0, 'Course hurdles (0%)': 0.0, 'Reflection 3: Skill development (20%)': 20.0}",,,,To enrol in this course you must have successfully completed EXTN1005A,,https://unistats.anu.edu.au/internal/surveys/selt/learning/time-series/EXTN1005B_Time_Series_LRN.pdf
EXTN1020B,College of Business and Economics,,"Accounting, Economics, Finance, International Business",,"['other', 'reflection', 'reflection', 'other', 'essay/report', 'other', 'other', 'reflection']","{'Internship Project Proposal (10%)': 10.0, 'Reflection 1 - ""Transitioning into the Workplace"" (10%)': 10.0, 'Reflection 2 - ""Professionalism, Communication and Ettiquette in the Workplace"" (10%)': 10.0, 'Initial Placement Workplace Evaluation (10%) - Host': 10.0, 'Final Internship Report (20%)': 20.0, 'Final Placement Evaluation (20%) - Host': 20.0, 'Course hurdles (0%)': 0.0, 'Reflection 3: Skill development (20%)': 20.0}",,,,Students must have completed EXTN1020A to enrol in this course,,https://unistats.anu.edu.au/internal/surveys/selt/learning/time-series/EXTN1020B_Time_Series_LRN.pdf
EXTN1010A,College of Asia and the Pacific,School of Culture History and Language,,,"['other', 'reflection', 'reflection', 'other', 'essay/report', 'other', 'other', 'reflection']","{'Internship Project Proposal (10%)': 10.0, 'Reflection 1 - ""Transitioning into the Workplace"" (10%)': 10.0, 'Reflection 2 - ""Professionalism, Communication and Ettiquette in the Workplace"" (10%)': 10.0, 'Initial Placement Workplace Evaluation (10%) - Host': 10.0, 'Final Internship Report (20%)': 20.0, 'Final Placement Evaluation (20%) - Host': 20.0, 'Course hurdles (0%)': 0.0, 'Reflection 3: Skill development (20%)': 20.0}",,,,To enrol in this course you must be studying a Diploma of Studies,,https://unistats.anu.edu.au/internal/surveys/selt/learning/time-series/EXTN1010A_Time_Series_LRN.pdf
EXTN1010B,College of Asia and the Pacific,School of Culture History and Language,,,"['other', 'reflection', 'reflection', 'other', 'essay/report', 'other', 'other', 'reflection']","{'Internship Project Proposal (10%)': 10.0, 'Reflection 1 - ""Transitioning into the Workplace"" (10%)': 10.0, 'Reflection 2 - ""Professionalism, Communication and Ettiquette in the Workplace"" (10%)': 10.0, 'Initial Placement Workplace Evaluation (10%) - Host': 10.0, 'Final Internship Report (20%)': 20.0, 'Final Placement Evaluation (20%) - Host': 20.0, 'Course hurdles (0%)': 0.0, 'Reflection 3: Skill development (20%)': 20.0}",,,,To enrol in this course you must be studying a Diploma of Studies,,https://unistats.anu.edu.au/internal/surveys/selt/learning/time-series/EXTN1010B_Time_Series_LRN.pdf
EXTN1008A,College of Asia and the Pacific,School of Culture History and Language,,,"['other', 'reflection', 'reflection', 'other', 'essay/report', 'other', 'other', 'reflection']","{'Internship Project Proposal (10%)': 10.0, 'Reflection 1 - ""Transitioning into the Workplace"" (10%)': 10.0, 'Reflection 2 - ""Professionalism, Communication and Ettiquette in the Workplace"" (10%)': 10.0, 'Initial Placement Workplace Evaluation (10%) - Host': 10.0, 'Final Internship Report (20%)': 20.0, 'Final Placement Evaluation (20%) - Host': 20.0, 'Course hurdles (0%)': 0.0, 'Reflection 3: Skill development (20%)': 20.0}",,,,To enrol in this course you must be studying a Diploma of Studies,,https://unistats.anu.edu.au/internal/surveys/selt/learning/time-series/EXTN1008A_Time_Series_LRN.pdf
EXTN1008B,College of Asia and the Pacific,School of Culture History and Language,,,"['other', 'reflection', 'reflection', 'other', 'essay/report', 'other', 'other', 'reflection']","{'Internship Project Proposal (10%)': 10.0, 'Reflection 1 - ""Transitioning into the Workplace"" (10%)': 10.0, 'Reflection 2 - ""Professionalism, Communication and Ettiquette in the Workplace"" (10%)': 10.0, 'Initial Placement Workplace Evaluation (10%) - Host': 10.0, 'Final Internship Report (20%)': 20.0, 'Final Placement Evaluation (20%) - Host': 20.0, 'Course hurdles (0%)': 0.0, 'Reflection 3: Skill development (20%)': 20.0}",,,,To enrol in this course you must have successfully completed EXTN1008A,,https://unistats.anu.edu.au/internal/surveys/selt/learning/time-series/EXTN1008B_Time_Series_LRN.pdf
EXTN1011A,College of Science and Medicine,,,,"['other', 'reflection', 'reflection', 'other', 'essay/report', 'other', 'other', 'reflection']","{'Internship Project Proposal (10%)': 10.0, 'Reflection 1 - ""Transitioning into the Workplace"" (10%)': 10.0, 'Reflection 2 - ""Professionalism, Communication and Ettiquette in the Workplace"" (10%)': 10.0, 'Initial Placement Workplace Evaluation (10%) - Host': 10.0, 'Final Internship Report (20%)': 20.0, 'Final Placement Evaluation (20%) - Host': 20.0, 'Course hurdles (0%)': 0.0, 'Reflection 3: Skill development (20%)': 20.0}",,,,To enrol in this course you must be studying a Diploma of Studies,,https://unistats.anu.edu.au/internal/surveys/selt/learning/time-series/EXTN1011A_Time_Series_LRN.pdf
EXTN1011B,College of Science and Medicine,,,,"['other', 'reflection', 'reflection', 'other', 'essay/report', 'other', 'other', 'reflection']","{'Internship Project Proposal (10%)': 10.0, 'Reflection 1 - ""Transitioning into the Workplace"" (10%)': 10.0, 'Reflection 2 - ""Professionalism, Communication and Ettiquette in the Workplace"" (10%)': 10.0, 'Initial Placement Workplace Evaluation (10%) - Host': 10.0, 'Final Internship Report (20%)': 20.0, 'Final Placement Evaluation (20%) - Host': 20.0, 'Course hurdles (0%)': 0.0, 'Reflection 3: Skill development (20%)': 20.0}",,,,To enrol in this course you must have successfully completed EXTN1011A,,https://unistats.anu.edu.au/internal/surveys/selt/learning/time-series/EXTN1011B_Time_Series_LRN.pdf
EXTN1012A,College of Science and Medicine,,,,"['other', 'reflection', 'reflection', 'other', 'essay/report', 'other', 'other', 'reflection']","{'Internship Project Proposal (10%)': 10.0, 'Reflection 1 - ""Transitioning into the Workplace"" (10%)': 10.0, 'Reflection 2 - ""Professionalism, Communication and Ettiquette in the Workplace"" (10%)': 10.0, 'Initial Placement Workplace Evaluation (10%) - Host': 10.0, 'Final Internship Report (20%)': 20.0, 'Final Placement Evaluation (20%) - Host': 20.0, 'Course hurdles (0%)': 0.0, 'Reflection 3: Skill development (20%)': 20.0}",,,,To enrol in this course you must be studying a Diploma of Studies,,https://unistats.anu.edu.au/internal/surveys/selt/learning/time-series/EXTN1012A_Time_Series_LRN.pdf
EXTN1012B,College of Science and Medicine,,,,"['other', 'reflection', 'reflection', 'other', 'essay/report', 'other', 'other', 'reflection']","{'Internship Project Proposal (10%)': 10.0, 'Reflection 1 - ""Transitioning into the Workplace"" (10%)': 10.0, 'Reflection 2 - ""Professionalism, Communication and Ettiquette in the Workplace"" (10%)': 10.0, 'Initial Placement Workplace Evaluation (10%) - Host': 10.0, 'Final Internship Report (20%)': 20.0, 'Final Placement Evaluation (20%) - Host': 20.0, 'Course hurdles (0%)': 0.0, 'Reflection 3: Skill development (20%)': 20.0}",,,,To enrol in this course you must have successfully completed EXTN1012A,,https://unistats.anu.edu.au/internal/surveys/selt/learning/time-series/EXTN1012B_Time_Series_LRN.pdf
BIOL3188,College of Science and Medicine,Biology Teaching and Learning Centre and the Research School of Chemistry,"Chemistry, Engineering, Biology",Jul 2025,"['other', 'other', 'participation']","{'Grant proposal': 80.0, 'Skill development assignment': 20.0, 'Contribution to Final event': 0.0}",80.0,other,Grant proposal,"To enrol in this course you must have completed 72 units of relevant courses (BIOL, CHEM, ENGN) and obtain a permission code from the course convenor. 
 Incompatible with BIOL6188.",https://programsandcourses.anu.edu.au/2024/course/BIOL3188/Second%20Semester/8305,https://unistats.anu.edu.au/internal/surveys/selt/learning/time-series/BIOL3188_Time_Series_LRN.pdf
BIOL6188,College of Science and Medicine,Biology Teaching and Learning Centre and the Research School of Chemistry,"Chemistry, Engineering, Biology",Jul 2025,"['other', 'other', 'participation']","{'Grant proposal': 80.0, 'Skill development assignment': 20.0, 'Contribution to Final event': 0.0}",,,,Incompatible with BIOL3188,,https://unistats.anu.edu.au/internal/surveys/selt/learning/time-series/BIOL6188_Time_Series_LRN.pdf
SCNC5922,College of Science and Medicine,,,Jul 2025,"['other', 'other', 'participation']","{'Grant proposal': 80.0, 'Skill development assignment': 20.0, 'Contribution to Final event': 0.0}",,,,,,https://unistats.anu.edu.au/internal/surveys/selt/learning/time-series/SCNC5922_Time_Series_LRN.pdf
HLTH3001,College of Science and Medicine,School of Medicine and Psychology,"Anthropology, Australian Indigenous Studies, Psychology, Health",Feb 2026,"['other', 'participation', 'test/quiz/midsem', 'other', 'oral/presentation']","{'Acknowledgement of Country': 20.0, 'Participation': 5.0, 'Quizzes (weekly)': 35.0, 'Assignment': 20.0, 'Presentation': 20.0}",35.0,test/quiz/midsem,Quizzes (weekly),To enrol in this course you must have successfully completed a minimum of 48 units of tertiary study.,https://programsandcourses.anu.edu.au/course/HLTH3001/First%20Semester/3098,https://unistats.anu.edu.au/internal/surveys/selt/learning/time-series/HLTH3001_Time_Series_LRN.pdf
HIST2022,College of Arts and Social Sciences,School of History,"History, Australian Indigenous Studies",Feb 2026,"['other', 'test/quiz/midsem']","{'Manifesto': 40.0, 'Take-Home Test': 60.0}",60.0,test/quiz/midsem,Take-Home Test,"To enrol in this course you must have completed 24 units of ANU courses towards a degree, or with the permission of the convenor. You are not able to enrol in this course if you have previously completed HIST6022.",https://programsandcourses.anu.edu.au/course/HIST2022/First%20Semester/3640,https://unistats.anu.edu.au/internal/surveys/selt/learning/time-series/HIST2022_Time_Series_LRN.pdf
PHYS8203,College of Science and Medicine,Research School of Physics,Physics,Feb 2026,"['other', 'essay/report', 'other']","{'Assignments': 40.0, 'Laboratory reports': 30.0, 'Tutorial and Laboratory work competency': 30.0}",40.0,other,Assignments,,https://programsandcourses.anu.edu.au/course/PHYS8203/First%20Semester/2773,https://unistats.anu.edu.au/internal/surveys/selt/learning/time-series/PHYS8203_Time_Series_LRN.pdf
BUSN7051,College of Business and Economics,Research School of Accounting,Accounting,,"['other', 'essay/report', 'other']","{'Assignments': 40.0, 'Laboratory reports': 30.0, 'Tutorial and Laboratory work competency': 30.0}",,,,"To enrol in this course you must be studying a Master of Accounting, Master of Professional Accounting, Master of Commerce (Advanced) or Graduate Certificate of Accounting, and have completed BUSN7008. This course is incompatible with BUSN3051 and BUSN6051.",,https://unistats.anu.edu.au/internal/surveys/selt/learning/time-series/BUSN7051_Time_Series_LRN.pdf
BUSN6051,College of Business and Economics,Research School of Accounting,Accounting,,"['test/quiz/midsem', 'other', 'test/quiz/midsem', 'exam', 'test/quiz/midsem']","{'90-minute closed book online quiz 1 with Proctorio on Week 6 Lecture': 15.0, 'Individual assignment due on Week 8 Friday 23:59:59': 10.0, '90-minute closed-book written quiz in person at the lecture venue during the lecture time': 15.0, 'Three-hour closed-book examination': 60.0, 'Weekly revision tests': 0.0}",60.0,exam,Three-hour closed-book examination,"To enrol in this course you must be studying a Master of Accounting, Master of Professional Accounting, Master of Commerce (Advanced) or Graduate Certificate of Accounting, and have completed BUSN7008. 
 To enrol in this course, students in the Master of Applied Accounting must be studying or have completed BUSN7008. 
 This course is incompatible with BUSN3051 and BUSN7051.",https://programsandcourses.anu.edu.au/2024/course/BUSN6051/Second%20Semester/8961,https://unistats.anu.edu.au/internal/surveys/selt/learning/time-series/BUSN6051_Time_Series_LRN.pdf
BUSN4500,College of Business and Economics,Research School of Accounting,,Jul 2025,['other'],{'Thesis': 100.0},100.0,other,Thesis,,https://programsandcourses.anu.edu.au/course/BUSN4500/First%20Semester/4113,https://unistats.anu.edu.au/internal/surveys/selt/learning/time-series/BUSN4500_Time_Series_LRN.pdf
INFS2005,College of Business and Economics,Research School of Management,"Accounting, Business Information Systems",Jul 2025,"['other', 'participation', 'other', 'exam']","{'SAP Exercise - Individual Assessment (5%)': 5.0, 'Tutorial Participation (12% + 8% = 20%)': 20.0, 'Group Assignment (25%)': 25.0, 'Final Examination - Individual (50%)': 50.0}",50.0,exam,Final Examination - Individual (50%),"To enrol in this course you must have: 
 completed INFS1001 or BUSN1001.",https://programsandcourses.anu.edu.au/course/INFS2005/First%20Semester/3233,https://unistats.anu.edu.au/internal/surveys/selt/learning/time-series/INFS2005_Time_Series_LRN.pdf
